
Label=dB(v(Vout)) vs F
LabelX=F
LabelY=dB(v(Vout))
Data Point Count=1001
F,F,F,dB(v(Vout)),dB(v(Vout))
 4.3251383103501252E+002, 4.3251383103501252E+002, 0.0000000000000000E+000, 6.0301574866007961E+001, 0.0000000000000000E+000
 4.3853069777498962E+002, 4.3853069777498962E+002, 0.0000000000000000E+000, 6.0301555001986095E+001, 0.0000000000000000E+000
 4.4463126746911274E+002, 4.4463126746911274E+002, 0.0000000000000000E+000, 6.0301534581542015E+001, 0.0000000000000000E+000
 4.5081670454146428E+002, 4.5081670454146428E+002, 0.0000000000000000E+000, 6.0301513589093254E+001, 0.0000000000000000E+000
 4.5708818961487924E+002, 4.5708818961487924E+002, 0.0000000000000000E+000, 6.0301492008619000E+001, 0.0000000000000000E+000
 4.6344691973629233E+002, 4.6344691973629233E+002, 0.0000000000000000E+000, 6.0301469823651630E+001, 0.0000000000000000E+000
 4.6989410860521986E+002, 4.6989410860521986E+002, 0.0000000000000000E+000, 6.0301447017261665E+001, 0.0000000000000000E+000
 4.7643098680542022E+002, 4.7643098680542022E+002, 0.0000000000000000E+000, 6.0301423572045898E+001, 0.0000000000000000E+000
 4.8305880203977728E+002, 4.8305880203977728E+002, 0.0000000000000000E+000, 6.0301399470113850E+001, 0.0000000000000000E+000
 4.8977881936845091E+002, 4.8977881936845091E+002, 0.0000000000000000E+000, 6.0301374693074266E+001, 0.0000000000000000E+000
 4.9659232145034088E+002, 4.9659232145034088E+002, 0.0000000000000000E+000, 6.0301349222021024E+001, 0.0000000000000000E+000
 5.0350060878790970E+002, 5.0350060878790970E+002, 0.0000000000000000E+000, 6.0301323037518706E+001, 0.0000000000000000E+000
 5.1050499997541129E+002, 5.1050499997541129E+002, 0.0000000000000000E+000, 6.0301296119588045E+001, 0.0000000000000000E+000
 5.1760683195057277E+002, 5.1760683195057277E+002, 0.0000000000000000E+000, 6.0301268447690603E+001, 0.0000000000000000E+000
 5.2480746024977782E+002, 5.2480746024977782E+002, 0.0000000000000000E+000, 6.0301240000712468E+001, 0.0000000000000000E+000
 5.3210825926679956E+002, 5.3210825926679956E+002, 0.0000000000000000E+000, 6.0301210756949708E+001, 0.0000000000000000E+000
 5.3951062251513304E+002, 5.3951062251513304E+002, 0.0000000000000000E+000, 6.0301180694089780E+001, 0.0000000000000000E+000
 5.4701596289397719E+002, 5.4701596289397719E+002, 0.0000000000000000E+000, 6.0301149789196621E+001, 0.0000000000000000E+000
