
Label=ph(v(Vout)) vs F
LabelX=F
LabelY=ph(v(Vout))
Data Point Count=1001
F,F,F,ph(v(Vout)),ph(v(Vout))
 2.3227367963571189E+002, 2.3227367963571189E+002, 0.0000000000000000E+000, 1.7960003387814749E+002, 0.0000000000000000E+000
 2.3550492838960218E+002, 2.3550492838960218E+002, 0.0000000000000000E+000, 1.7959446997037838E+002, 0.0000000000000000E+000
 2.3878112829131902E+002, 2.3878112829131902E+002, 0.0000000000000000E+000, 1.7958882866835725E+002, 0.0000000000000000E+000
 2.4210290467361912E+002, 2.4210290467361912E+002, 0.0000000000000000E+000, 1.7958310889573653E+002, 0.0000000000000000E+000
 2.4547089156850438E+002, 2.4547089156850438E+002, 0.0000000000000000E+000, 1.7957730956120855E+002, 0.0000000000000000E+000
 2.4888573182824047E+002, 2.4888573182824047E+002, 0.0000000000000000E+000, 1.7957142955829772E+002, 0.0000000000000000E+000
 2.5234807724805890E+002, 2.5234807724805890E+002, 0.0000000000000000E+000, 1.7956546776515046E+002, 0.0000000000000000E+000
 2.5585858869056605E+002, 2.5585858869056605E+002, 0.0000000000000000E+000, 1.7955942304432151E+002, 0.0000000000000000E+000
 2.5941793621188293E+002, 2.5941793621188293E+002, 0.0000000000000000E+000, 1.7955329424255794E+002, 0.0000000000000000E+000
 2.6302679918953976E+002, 2.6302679918953976E+002, 0.0000000000000000E+000, 1.7954708019057978E+002, 0.0000000000000000E+000
 2.6668586645214958E+002, 2.6668586645214958E+002, 0.0000000000000000E+000, 1.7954077970285775E+002, 0.0000000000000000E+000
 2.7039583641088603E+002, 2.7039583641088603E+002, 0.0000000000000000E+000, 1.7953439157738805E+002, 0.0000000000000000E+000
 2.7415741719278998E+002, 2.7415741719278998E+002, 0.0000000000000000E+000, 1.7952791459546367E+002, 0.0000000000000000E+000
 2.7797132677593066E+002, 2.7797132677593066E+002, 0.0000000000000000E+000, 1.7952134752144320E+002, 0.0000000000000000E+000
 2.8183829312644724E+002, 2.8183829312644724E+002, 0.0000000000000000E+000, 1.7951468910251560E+002, 0.0000000000000000E+000
 2.8575905433749659E+002, 2.8575905433749659E+002, 0.0000000000000000E+000, 1.7950793806846266E+002, 0.0000000000000000E+000
 2.8973435877013424E+002, 2.8973435877013424E+002, 0.0000000000000000E+000, 1.7950109313141732E+002, 0.0000000000000000E+000
 2.9376496519615506E+002, 2.9376496519615506E+002, 0.0000000000000000E+000, 1.7949415298561937E+002, 0.0000000000000000E+000
 2.9785164294292099E+002, 2.9785164294292099E+002, 0.0000000000000000E+000, 1.7948711630716730E+002, 0.0000000000000000E+000
 3.0199517204020367E+002, 3.0199517204020367E+002, 0.0000000000000000E+000, 1.7947998175376708E+002, 0.0000000000000000E+000
 3.0619634336906984E+002, 3.0619634336906984E+002, 0.0000000000000000E+000, 1.7947274796447726E+002, 0.0000000000000000E+000
 3.1045595881283771E+002, 3.1045595881283771E+002, 0.0000000000000000E+000, 1.7946541355945064E+002, 0.0000000000000000E+000
 3.1477483141013380E+002, 3.1477483141013380E+002, 0.0000000000000000E+000, 1.7945797713967247E+002, 0.0000000000000000E+000
 3.1915378551007842E+002, 3.1915378551007842E+002, 0.0000000000000000E+000, 1.7945043728669484E+002, 0.0000000000000000E+000
 3.2359365692963058E+002, 3.2359365692963058E+002, 0.0000000000000000E+000, 1.7944279256236780E+002, 0.0000000000000000E+000
 3.2809529311312139E+002, 3.2809529311312139E+002, 0.0000000000000000E+000, 1.7943504150856634E+002, 0.0000000000000000E+000
 3.3265955329400691E+002, 3.3265955329400691E+002, 0.0000000000000000E+000, 1.7942718264691399E+002, 0.0000000000000000E+000
 3.3728730865887132E+002, 3.3728730865887132E+002, 0.0000000000000000E+000, 1.7941921447850245E+002, 0.0000000000000000E+000
 3.4197944251371138E+002, 3.4197944251371138E+002, 0.0000000000000000E+000, 1.7941113548360735E+002, 0.0000000000000000E+000
 3.4673685045253421E+002, 3.4673685045253421E+002, 0.0000000000000000E+000, 1.7940294412140042E+002, 0.0000000000000000E+000
 3.5156044052830077E+002, 3.5156044052830077E+002, 0.0000000000000000E+000, 1.7939463882965711E+002, 0.0000000000000000E+000
 3.5645113342624694E+002, 3.5645113342624694E+002, 0.0000000000000000E+000, 1.7938621802446096E+002, 0.0000000000000000E+000
 3.6140986263961605E+002, 3.6140986263961605E+002, 0.0000000000000000E+000, 1.7937768009990333E+002, 0.0000000000000000E+000
 3.6643757464783607E+002, 3.6643757464783607E+002, 0.0000000000000000E+000, 1.7936902342777933E+002, 0.0000000000000000E+000
 3.7153522909717543E+002, 3.7153522909717543E+002, 0.0000000000000000E+000, 1.7936024635727949E+002, 0.0000000000000000E+000
 3.7670379898391184E+002, 3.7670379898391184E+002, 0.0000000000000000E+000, 1.7935134721467728E+002, 0.0000000000000000E+000
 3.8194427084004963E+002, 3.8194427084004963E+002, 0.0000000000000000E+000, 1.7934232430301228E+002, 0.0000000000000000E+000
